Point ID,Activation,Points_0,Points_1,Points_2
4623,24,92.079,101.41,266.69
4624,21,91.346,103.04,266.31
4625,21,91.568,102.87,266.14
4626,21,91.674,103,265.88
4627,21,91.463,103.17,266.04
4628,21,91.258,103.33,266.2
4629,21,91.37,103.47,265.94
4630,21,91.501,103.58,265.67
4631,23,94.513,103.45,261.47
4632,23,94.698,103.47,261.25
4633,23,94.468,103.81,261.42
4634,23,94.656,103.82,261.21
4635,24,93.386,101.83,263.94
4636,23,93.204,104.1,262.96
4637,22,92.906,103.04,263.93
4638,22,93.063,103.07,263.66
4639,22,92.846,103.4,263.81
4640,22,93.009,103.45,263.54
4641,22,92.896,103.84,263.51
4642,23,93.029,104.26,263.14
4643,22,92.781,103.68,263.75
4644,19,94.258,98.671,265.57
4645,19,94.091,99.001,265.52
4646,19,94.026,98.898,265.87
4647,19,94.299,98.36,265.97
4648,21,93.035,99.867,266.75
4649,21,92.855,100.19,266.69
4650,21,93.05,99.546,267.14
4651,21,93.138,99.613,266.88
4652,24,93.361,101.42,264.34
4653,24,93.475,101.46,264.07
4654,24,93.232,101.78,264.28
4655,22,92.768,102.49,264.56
4656,22,92.65,102.38,264.86
4657,22,92.591,102.66,264.73
4658,17,86.558,110.27,263.49
4659,17,86.957,110.16,263.49
4660,17,86.488,110.07,263.75
4661,17,86.798,110.01,263.72
4662,17,88.52,110.52,262.59
4663,17,89.135,110.39,262.48
4664,17,88.82,110.45,262.55
4665,17,88.976,110.62,262.35
4666,23,90.605,109.83,262.31
4667,22,90.949,109.73,262.22
4668,22,91.008,109.95,262.02
4669,22,90.75,110.01,262.1
4670,22,91.987,104.89,264.17
4671,22,91.865,104.67,264.45
4672,22,91.644,104.91,264.59
4673,22,91.775,105.06,264.34
4674,17,87.597,108.8,264.94
4675,22,88.589,108.71,264.44
4676,22,88.528,108.91,264.23
4677,22,88.969,108.6,264.32
4678,22,89.11,108.75,264.07
4679,17,87.904,108.73,264.85
4680,17,87.732,108.92,264.69
4681,17,87.36,109.36,264.3
4682,17,87.716,109.3,264.2
4683,17,87.782,109.1,264.43
4684,17,87.508,109.17,264.48
4685,22,89.722,107.77,264.66
4686,22,89.859,107.5,264.8
4687,22,89.574,107.63,264.93
4688,23,93.513,105.6,262.08
4689,23,93.295,105.83,262.25
4690,23,93.476,105.87,262.04
4691,23,93.616,107.37,261.36
4692,23,93.616,106.18,261.78
4693,23,93.802,106.21,261.56
4694,23,93.567,106.49,261.73
4695,23,93.419,106.22,261.98
4696,23,93.277,107.03,261.84
4697,23,93.206,107.38,261.78
4698,23,93.472,107.06,261.63
4699,23,93.154,104.41,262.91
4700,23,93.296,104.62,262.66
4701,23,93.107,104.67,262.87
4702,23,93.243,104.98,262.6
4703,23,93.055,105.03,262.81
4704,23,93.469,104.63,262.44
4705,23,93.042,109.05,261.18
4706,23,92.933,109.42,261.06
4707,23,93.189,109.28,260.92
4708,23,93.094,109.58,260.83
4709,27,100.97,101.42,255.05
4710,27,101.2,101.58,254.93
4711,27,100.71,101.4,255.22
4712,27,100.97,101.83,255.15
4713,27,99.22,100.21,258.17
4714,27,99.387,107.07,255.52
4715,27,99.538,107.2,255.26
4716,27,99.281,107.39,255.4
4717,27,99.469,107.46,255.13
4718,27,99.268,106.18,256.2
4719,27,99.123,105.98,256.45
4720,27,99.058,106.24,256.39
4721,18,87.778,116.55,255.08
4722,18,87.633,116.44,255.34
4723,18,87.789,116.31,255.55
4724,18,88.156,116.53,255.02
4725,23,88.964,112.61,260.64
4726,23,89.114,112.76,260.43
4727,23,88.809,112.83,260.49
4728,23,88.973,112.99,260.26
4729,23,90.609,113.09,259.11
4730,23,90.605,112.72,259.61
4731,23,90.343,112.81,259.68
4732,23,90.544,112.92,259.4
4733,24,88.617,114.31,258.76
4734,24,88.983,114.19,258.72
4735,24,88.742,114.41,258.51
4736,25,94.204,112.68,255.93
4737,25,94.567,112.53,255.9
4738,25,94.155,112.61,256.3
4739,25,94.719,112.31,256.34
4740,26,97.503,110.79,254.85
4741,25,93.387,111.78,258.7
4742,25,93.67,111.67,258.58
4743,25,93.514,111.91,258.43
4744,18,87.026,111.6,262.08
4745,18,86.998,111.83,261.88
4746,18,87.367,111.77,261.85
4747,23,88.598,111.16,262.02
4748,23,88.566,111.41,261.83
4749,23,88.913,110.88,262.16
4750,23,88.958,111.1,261.96
4751,23,90.609,111.16,261.22
4752,23,90.834,110.88,261.35
4753,23,90.993,111.05,261.12
4754,23,90.853,111.29,260.97
4755,20,89.617,101.01,269.74
4756,20,89.834,101.07,269.48
4757,17,88.874,103.8,269.04
4758,17,88.766,103.61,269.32
4759,17,88.671,103.86,269.25
4760,20,89.982,102.47,268.56
4761,20,89.76,102.64,268.73
4762,20,89.894,102.77,268.46
4763,20,89.653,102.98,268.62
4764,20,89.707,101.45,269.49
